"id","Country","State","Name","Type","ElevationMeters","ElevationFeets","LastEruptionDate","LastEruptionVEI","Latitude","Longitude"
"28","USA","Washington","Silver Star Mountain","Shield volcano?",1330,4364,"Miocene","Unknown",45.747722,-122.239028
"29","USA","Washington","West Crater","Volcanic field",1329,4360,"7767 BP","2?",45.88,-122.08
"30","USA","Washington","Trout Creek Hill","Shield volcano",893,2930,"340,000 BP","Unknown",45.83,-122
"31","USA","Oregon","Boring Lava Field","Volcanic field",1236,4055,"Pleistocene","Unknown",45.66,-122.68
"32","USA","Oregon","Rocky Butte","Cinder cone",174,571,"Pleistocene","Unknown",45.547,-122.565
"33","USA","Oregon","Powell Butte","Cinder cone",191,627,"Pleistocene","Unknown",45.487,-122.504
"34","USA","Oregon","Mount Sylvania","Cinder cone",292,958,"Pleistocene","Unknown",45.438,-122.721
"35","USA","Oregon","Mount Hood","Stratovolcano",3426,11240,"1866","2",45.374,-121.695
"36","USA","Oregon","Olallie Butte","Shield volcano",2199,7215,"-","Unknown",44.82,-121.764
"37","USA","Oregon","Mount Jefferson","Stratovolcano",3199,10495,"950 AD?","Unknown",44.674,-121.799
"38","USA","Oregon","Three Fingered Jack","Shield volcano",2390,7841,"Pleistocene","Unknown",44.478,-121.845
"39","USA","Oregon","Hogg Rock","Tuya",1548,5080,"Pleistocene","Unknown",44.422,-121.877
"40","USA","Oregon","Blue Lake Crater","Maar",1230,4035,"680 AD ± 200 years","Unknown",44.411,-121.774
"41","USA","Oregon","Hoodoo Butte","Cinder cone",1738,5702,"Holocene","Unknown",44.402,-121.884
"42","USA","Oregon","Sand Mountain Field","Cinder cones",1664,5459,"70 AD ± 150 years","Unknown",44.38,-121.93
"43","USA","Oregon","Hayrick Butte","Tuya",1683,5523,"Pleistocene","Unknown",44.399,-121.871
"44","USA","Oregon","Black Butte","Cinder cone",1937,6355,"-","Unknown",44.399,-121.634
"45","USA","Oregon","Mount Washington","Shield volcano",2376,7795,"1,330 BP","Unknown",44.332,-121.838
"46","USA","Oregon","Belknap Crater","Shield volcanoes",2095,6873,"480 AD?","2?",44.285,-121.843
"47","USA","Oregon","Black Crater","Shield volcano",2210,7251,"-","Unknown",44.266,-121.748
"48","USA","Oregon","Three Sisters","Complex volcano",3157,10358,"1,600 BP","Unknown",44.1,-121.77
"49","USA","Oregon","Broken Top","Stratovolcano",2797,9055,"100,000 BP","Unknown",44.083,-121.699
"50","USA","Oregon","Pilot Butte","Cinder cone",1261,4138,"Pleistocene","Unknown",44.061,-121.283
"51","USA","Oregon","Tumalo Mountain","Shield volcano",2370,7775,"-","Unknown",44.005,-121.642
"52","USA","Oregon","Mount Bachelor","Stratovolcano",2764,9068,"8,000-10,000 BP","Unknown",43.979,-121.688
"53","USA","Oregon","Lava Butte","Cinder cone",1529,5016,"7,000 BP","Unknown",43.918,-121.356
"54","USA","Oregon","Newberry Volcano","Shield volcano",2435,7989,"690 AD","4",43.722,-121.229
"55","USA","Oregon","Maiden Peak","Shield volcano",2383,7818,"-","Unknown",43.626,-121.925
"56","USA","Oregon","Davis Lake","Volcanic field",2163,7096,"2,790 BC?","Unknown",43.57,-121.82
"57","USA","Oregon","Diamond Peak","Shield volcano",2665,8744,"Less than 100,000 BP","Unknown",43.52,-122.149
"58","USA","Oregon","Devil's Garden","Volcanic field",1698,5571,"Unknown","Unknown",43.512,-120.861
"59","USA","Oregon","Squaw Ridge","Volcanic field",1711,5613,"Unknown","Unknown",43.472,-120.754
"60","USA","Oregon","Four Craters","Volcanic field",1501,4924,"Unknown","Unknown",43.361,-120.669
"61","USA","Oregon","Cinnamon Butte","Cinder cones",1956,6417,"Unknown","Unknown",43.241,-122.108
"62","USA","Oregon","Howlock Mountain","Shield volcano",2545,8351,"Pleistocene","Unknown",43.192,-122.039
"63","USA","Oregon","Mount Bailey","Shield volcano",2551,8368,"Less than 100,000 BP","Unknown",43.155,-122.221
"64","USA","Oregon","Mount Thielsen","Stratovolcano",2799,9184,"-","Unknown",43.153,-122.067
"65","USA","Oregon","Yamsay Mountain","Shield volcano",2498,8196,"-","Unknown",42.931,-121.364
"66","USA","Oregon","Mount Mazama","Caldera",2487,8159,"2290 BC ± 300 years","Unknown",42.93,-122.12
"67","USA","Oregon","Mount Scott","Stratovolcano",2722,8929,"Pleistocene","Unknown",42.923,-122.018
"68","USA","Oregon","Union Peak","Shield volcano",2350,7709,"-","Unknown",42.831,-122.224
"69","USA","Oregon","Pelican Butte","Shield volcano",2449,8036,"300,000 BP","Unknown",42.513,-122.146
"70","USA","Oregon","Mount McLoughlin","Stratovolcano",2894,9495,"20,000 BP","Unknown",42.445,-122.315
"71","USA","Oregon","Aspen Butte","Shield volcano",2502,8208,"-","Unknown",42.315,-122.088
"72","USA","California","Medicine Lake Volcano","Shield volcano",2412,7913,"1260 ± 40 years","3?",41.363,-121.33
"73","USA","California","Mount Shasta","Stratovolcano",4317,14163,"1786","3",41.409,-122.193
"74","USA","California","Shastina","Stratovolcano",3758,12330,"-","Unknown",41.4,-122.22
"75","USA","California","Black Butte","Lava dome",1902,6242,"9,000-10,000 BP","Unknown",41.363,-122.348
"76","USA","California","Brushy Butte","Shield volcano",1174,3852,"Unknown","Unknown",41.178,-121.443
"77","USA","California","Big Cave","Shield volcano",1259,4131,"Unknown","Unknown",40.955,-121.365
"78","USA","California","Twin Buttes","Cinder cones",1631,5351,"Unknown","Unknown",40.777,-121.591
"79","USA","California","Tumble Buttes","Cinder cones",2191,7188,"Unknown","Unknown",40.68,-121.55
"80","USA","California","Eagle Lake Field","Fissure vents",1652,5420,"Unknown","Unknown",40.63,-120.83
"81","USA","California","Cinder Cone","Cinder cone",2105,6907,"350 BP","Unknown",40.53,-121.32
"82","USA","California","Chaos Crags","Lava domes",2592,8503,"1,000 BP","Unknown",40.53,-121.52
"83","USA","California","Lassen Peak","Lava dome",3189,10462,"1917","3",40.492,-121.508
"84","USA","California","Mount Tehama","Stratovolcano",2815,9235,"600,000 BP","Unknown",40.43,-121.55
